Region,Year,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Guanacaste,2012,Langosta Pacifica,1224,663,355,335,1387,1120,1247,566,681,153,728,2009,10467
Guanacaste,2012,Langosta Caribe,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanacaste,2012,Calamar,0,0,0,0,0,0,4,0,0,0,0,0,4
Guanacaste,2012,Pulpo,1250,2675,6330,5162,7268,6750,4670,4611,1286,119,110,2092,42324
Guanacaste,2012,Bivalvos,11,0,0,0,0,0,0,0,49,18,0,3,81
Guanacaste,2012,Cambute,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanacaste,2012,Aleta Tiburon,9664,6584,16300,6862,4198,8639,8777,7929,8221,4354,5649,2665,89844
Guanacaste,2012,Filet,0,30,48,0,37,2,0,29,64,49,57,0,316
Guanacaste,2012,Buche,0,0,3,0,0,0,0,0,0,1,0,0,4
Guanacaste,2012,Cangrejo,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanacaste,2012,Tortuga,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Primera Grande,20739,20811,23909,20343,17181,3914,862,32016,1680,16897,8917,9003,176272
Golfo de Nicoya,2012,Primera Pequena,68448,49240,60469,51991,37679,9770,15173,48456,11668,58021,46367,51010,508294
Golfo de Nicoya,2012,Clasificado,47491,97002,74603,35597,23117,14282,37520,27294,35063,38622,20575,29706,480872
Golfo de Nicoya,2012,Chatarra,56346,62272,61459,49907,56227,26657,40314,66916,35054,75399,44443,46291,621285
Golfo de Nicoya,2012,Agria Cola,16285,18808,21016,16763,16034,1369,1066,18475,3113,17987,12817,13186,156919
Golfo de Nicoya,2012,Cabrilla,793,12634,13258,6376,603,457,514,161,1173,441,93,169,36672
Golfo de Nicoya,2012,Pargo,457,200,865,1221,1559,166,546,263,530,840,484,932,8065
Golfo de Nicoya,2012,Pargo Seda,3,16,10,0,0,0,0,0,0,0,0,0,29
Golfo de Nicoya,2012,Dorado,286,7,0,0,0,40,58,7,1487,11790,15408,6292,35375
Golfo de Nicoya,2012,Marlin,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Marlin Blanco,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Marlin Rosado,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Pez Vela,0,0,0,8,0,6,0,0,0,0,0,0,14
Golfo de Nicoya,2012,Pez Espada,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Wahoo,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Sardina,314064,566,201051,80447,114310,100202,58388,38696,145,113593,168790,70551,1260803
Golfo de Nicoya,2012,Atun,11672,4796,966,1367,10606,6584,14273,37569,40913,52501,1201,7323,189771
Golfo de Nicoya,2012,Ballyhoo,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Cazon,386,17370,1185,622,695,1501,384,1405,961,914,217,153,25792
Golfo de Nicoya,2012,Posta,263,0,0,0,80,0,0,0,4,0,0,0,347
Golfo de Nicoya,2012,Maco,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Treacher,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Camaron Blanco,28384,23323,16208,9837,7889,290,459,9859,1263,14272,10557,12604,134946
Golfo de Nicoya,2012,Camaron Cafe,0,0,0,7,0,0,31,0,0,0,0,0,38
Golfo de Nicoya,2012,Camaron Rosado,5109,16051,5996,5828,5577,6221,19707,5513,3078,4259,5533,10262,93132
Golfo de Nicoya,2012,Camaron Fidel,0,643,16,0,461,193,3597,385,0,288,458,0,6042
Golfo de Nicoya,2012,Camaron Camello,1159,0,0,0,0,0,0,0,0,0,0,0,1159
Golfo de Nicoya,2012,Camaron Real,7844,7818,11578,4632,0,0,893,1948,5156,1720,3582,4589,49760
Golfo de Nicoya,2012,Camaron Titi,1569,770,480,1060,3453,1242,911,964,2373,3556,2715,1766,20860
Golfo de Nicoya,2012,Langosta Pacifica,41,124,267,170,54,100,39,229,89,136,90,311,1651
Golfo de Nicoya,2012,Langosta Caribe,41,124,267,170,54,100,39,229,89,136,90,311,1651
Golfo de Nicoya,2012,Calamar,0,0,1,0,0,0,178,0,40,35,0,0,254
Golfo de Nicoya,2012,Pulpo,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Bivalvos,883,926,800,821,751,702,702,575,561,337,0,0,7059
Golfo de Nicoya,2012,Cambute,0,0,0,0,0,0,0,0,0,0,0,0,0
Golfo de Nicoya,2012,Aleta Tiburon,0,0,25,0,0,0,0,0,0,0,0,0,25
Golfo de Nicoya,2012,Filet,0,0,14,65,106,0,0,275,0,0,204,0,663
Golfo de Nicoya,2012,Buche,0,0,1,3,0,0,35,5,2,2,1,4,54
Golfo de Nicoya,2012,Cangrejo,1080,171,165,241,3006,0,64,110,19,32,218,86,5192
Golfo de Nicoya,2012,Tortuga,0,0,0,0,0,0,0,0,0,0,0,0,0
Quepos,2012,Primera Grande,354,539,300,2324,874,527,1085,1542,1226,461,131,41,9402
